Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,152.059998,152.490005,151.619995,151.979996,145.403107,3374000
2017-11-28,152.350006,152.929993,151.699997,152.470001,145.871918,3973700
2017-11-29,152.809998,153.610001,152.169998,153.550003,146.905167,5098700
2017-11-30,153.649994,154.410004,153.080002,153.970001,147.307007,6500800
2017-12-01,154.399994,155.020004,152.910004,154.759995,148.062805,5567900
2017-12-04,155.960007,156.800003,155.070007,156.460007,149.689240,4664300
2017-12-05,156.449997,156.740005,154.679993,155.350006,148.627289,5068000
2017-12-06,154.100006,156.220001,154.089996,154.100006,147.431381,3410700
2017-12-07,153.589996,154.449997,153.259995,153.570007,146.924316,3771100
2017-12-08,154.979996,155.029999,153.550003,154.809998,148.110641,3520300
2017-12-11,155.460007,155.889999,154.570007,155.410004,148.684662,4102700
2017-12-12,157.300003,157.850006,155.160004,156.740005,149.957123,6321800
2017-12-13,156.600006,156.729996,153.889999,153.910004,147.249603,5661600
2017-12-14,154.600006,155.110001,153.699997,154.000000,147.335709,4637400
2017-12-15,153.610001,153.800003,152.029999,152.500000,145.900604,11279900
2017-12-18,153.589996,154.179993,153.210007,153.330002,146.694687,5092800
2017-12-19,154.050003,154.169998,153.089996,153.229996,146.599014,4116400
2017-12-20,153.649994,153.889999,152.779999,152.949997,146.331131,3785700
2017-12-21,153.169998,153.460007,151.490005,151.500000,144.943878,4153900
2017-12-22,151.820007,153.000000,151.500000,152.500000,145.900604,2990600
2017-12-26,152.509995,153.860001,152.500000,152.830002,146.216324,2479000
2017-12-27,152.949997,153.179993,152.610001,153.130005,146.503357,2149300
2017-12-28,153.199997,154.119995,153.199997,154.039993,147.373947,2687600
2017-12-29,154.169998,154.720001,153.419998,153.419998,146.780777,3327100
2018-01-02,154.500000,154.809998,153.539993,154.250000,147.574875,4202500
2018-01-03,157.339996,159.809998,156.330002,158.490005,151.631393,9441600
2018-01-04,159.649994,162.320007,159.369995,161.699997,154.702484,7556200
2018-01-05,162.440002,162.899994,161.100006,162.490005,155.458298,5195800
2018-01-08,162.660004,163.910004,161.699997,163.470001,156.395889,5237500
2018-01-09,163.899994,164.529999,163.059998,163.830002,156.740311,4341800
2018-01-10,162.910004,164.330002,162.500000,164.179993,157.075165,4174100
2018-01-11,164.800003,164.940002,163.300003,164.199997,157.094284,3794500
2018-01-12,164.020004,164.740005,163.029999,163.139999,156.080170,5031900
2018-01-16,165.100006,165.289993,163.350006,163.850006,156.759460,7794200
2018-01-17,168.009995,169.130005,167.259995,168.649994,161.351730,11630500
2018-01-18,170.000000,171.130005,168.149994,169.119995,161.801376,14259300
2018-01-19,164.460007,165.399994,161.300003,162.369995,155.343491,21172500
2018-01-22,161.509995,163.979996,161.110001,162.600006,155.563538,8480800
2018-01-23,162.820007,166.259995,162.509995,166.250000,159.055573,7466200
2018-01-24,166.750000,168.720001,164.820007,165.369995,158.213669,5645000
2018-01-25,165.910004,166.779999,165.190002,165.470001,158.309341,3302500
2018-01-26,166.119995,167.410004,165.789993,167.339996,160.098419,3787900
2018-01-29,167.449997,168.389999,166.009995,166.800003,159.581787,3517000
2018-01-30,166.210007,166.770004,163.160004,163.619995,156.539383,4902300
2018-01-31,163.750000,164.990005,162.759995,163.699997,156.615936,4072800
2018-02-01,163.190002,164.130005,161.899994,162.399994,155.372177,4434200
2018-02-02,161.699997,162.000000,158.869995,159.029999,152.148026,5251900
2018-02-05,157.889999,158.500000,150.000000,152.529999,145.929321,8746600
2018-02-06,150.289993,155.490005,149.110001,155.339996,148.617706,9867700
2018-02-07,154.169998,155.339996,153.279999,153.850006,147.192200,6149200
2018-02-08,152.479996,153.160004,147.500000,147.589996,142.593338,6779100
2018-02-09,148.600006,150.539993,144.399994,149.509995,144.448349,7828300
2018-02-12,150.899994,152.399994,150.300003,151.399994,146.274353,5881400
2018-02-13,150.899994,151.179993,149.639999,150.750000,145.646362,4891000
2018-02-14,150.190002,155.000000,150.000000,154.759995,149.520599,5479000
2018-02-15,155.500000,156.860001,153.699997,156.009995,150.728271,5623600
2018-02-16,155.710007,157.789993,155.690002,156.179993,150.892517,4282900
2018-02-20,155.789993,155.960007,153.869995,155.160004,149.907059,4489600
